x, y
853.1315202071252, 639.973660085069
848.9520176285656, 765.3606506954962
932.5433447021837, 853.1316397854775
1007.7755071808796, 936.7229668590958
1087.1873316759381, 1020.3142939327136
1291.9859873436208, 1133.1624579318557
1509.3234696225886, 1258.5494485422828
1258.549488401734, 936.7229668590958
1388.115981590721, 1032.852961106196
1588.7352941176473, 1066.2894600480824
1488.4256378541843, 986.8776355530238
1396.4753056234472, 911.645473074328
1480.0666326970652, 890.7476413059235
1572.0169649278025, 798.7971496373829
1638.8899628115755, 731.92415175361
1814.431940991538, 656.6919095560124
1484.2461352756247, 1409.0139329374774
1563.6579597706832, 1584.5557516796364
1647.2492868443017, 1630.5312366706119
1626.351455075897, 1170.778618890105
1454.989298350101, 1133.1624579318557
1764.2769534220029, 1195.8559532370693
1927.2801049906795, 1275.2677777321278
2048.487593022547, 1396.4752657639956
2169.6950810544154, 1434.0912672844418
2123.7199149390462, 1567.8377413653984
2086.103753980797, 1705.7630802737008
1985.794097717334, 1739.1995792155874
1847.8682804956209, 1910.5618953791866
1730.8406139179197, 1989.9735604364419
1684.865447802551, 2119.540213063232
1597.0942992747664, 2144.617547410196
1626.351455075897, 1852.0479026525325
1647.2492868443017, 1751.7384058268726
1588.7352941176473, 2006.6922085018934
1935.6394290234055, 1835.3297329004909
1409.0138133591256, 1204.2151178319916
1279.4473201701385, 1062.109957469523
694.3080306548113, 506.2275845986211
769.5401931335069, 573.1005824823942
2976.3511959894668, 1872.945734420937
2926.196527295538, 1764.2770730003547
2876.0418586016094, 1613.81258860516
2905.2986955271335, 1526.0420778285888
2830.0663736106344, 1379.7569365741506
2788.2707100738257, 1296.1656095005324
2581.8000301617944, 1293.4628198571456
2449.7258992007933, 1187.49694807995
2441.366894043674, 1041.212125701118
2533.3172262744115, 911.645473074328
2616.9085533480297, 815.5154788272281
2562.574382075542, 773.7198152904188
2562.574382075542, 711.0263199852054
2671.2430434961243, 690.1284882168009
1521.862296233874, 1200.0356152534323
2633.6268825378747, 627.4349929115871
2729.757036222778, 573.1005824823942
2671.2430434961243, 489.5093351276778
2621.0880559265893, 568.9210799038348
2817.5278658749558, 539.6642429783112
2850.964205379039, 485.32975283021653
2775.7322023381466, 443.5340892934075
2850.964205379039, 376.6610116907326
2993.0695251793113, 527.1254163670257
3005.6083517905968, 418.45667522754167
2708.8592044543734, 773.7198152904188
2767.3728783054207, 719.3854048612261
2838.4256976433603, 761.1810683980352
2930.3760298740976, 769.5403924307611
2909.4781981056935, 677.589741324417
3034.86518871612, 811.3359762486684
3093.3791814427746, 769.5403924307611
3168.6115033592737, 819.6949814057874
3206.227345441916, 886.5681387273642
3026.5061835590013, 861.4906449425965
2863.5030319903244, 853.1316397854775
3122.6360183682978, 1856.2275646688954
3193.688837706238, 1743.3792412319501
3235.484501243047, 1647.2492469848498
3310.716504283939, 1584.5557516796364
3285.639169936975, 1425.7321026895193
3398.487652811724, 1317.0634412689371
3461.181148116937, 1179.1377834850275
3360.8714918534743, 1191.6764506585096
3285.639169936975, 1066.2894600480824
3222.945674631761, 957.6207986275002
3477.8991584311757, 1116.444288179814
3582.3883172731985, 1041.212125701118
3544.7724751905553, 961.8003012060597
3431.923992315807, 915.8251350906912
3477.8991584311757, 982.6981329744644
3699.4163027265063, 991.0572975693866
3778.8281272215654, 1053.7507928746002
3849.880627683898, 1229.2926116167594
3916.753625567671, 1262.7291105586457
3908.394620410552, 1128.982955353296
4008.7042766740146, 1041.212125701118
4104.834430358919, 1124.8034527747363
4214.194732970688, 1319.3207616895993
4280.376089663274, 1450.8095964742865
3448.642321505652, 1534.4009235479048
3440.2833163485325, 1651.4290684390164
3369.2304970105934, 1747.55874381051
3356.6919892749142, 1651.4290684390164
4180.490856832485, 1195.7386070137602
4292.91491627456, 1233.4721141953187
4351.428590125607, 1154.0602897002602
4305.453742885845, 1062.109957469523
4380.685427051131, 1041.212125701118
4493.534228801486, 986.8776355530238
4510.2522391157245, 769.5403924307611
4602.202571346461, 853.1316397854775
4639.819051180318, 769.5403924307611
4698.332725031365, 719.3854048612261
4823.719715641792, 581.4599065151202
4819.539894187626, 677.589741324417
4811.1808890305065, 832.233808017073
4694.152903577198, 878.2089741324414
4485.174585893154, 1500.9644246060182
4443.3789223563435, 1425.7321026895193
4343.069584968488, 1417.3730975324
4317.991931745917, 1325.4226058638594
4447.55874381051, 1250.190443385164
4493.534228801486, 1333.7817704587817
4518.611244272844, 1083.0077892379275
4510.2522391157245, 1187.49694807995
4581.304739578057, 1342.140775615901
4552.047902652534, 1425.7321026895193
4685.79389842008, 1396.4752657639956
4761.026220336579, 1442.450431879364
4865.5153791786015, 1471.707428242691
4961.645532863505, 1505.1442460601847
4970.004538020624, 1421.5526001109595
4819.539894187626, 1396.4752657639956
5074.493696862647, 1484.2464142917802
4844.6175474101965, 1551.1192527377498
4903.131221261244, 1638.8900823899276
5011.800201557433, 1751.7384058268726
4965.824716566458, 1872.945734420937
4890.593032401172, 1948.1778968996325
4811.1808890305065, 1939.8188917425136
4761.026220336579, 1877.1253964373002
4664.896066651675, 1839.5095543546572
4572.945734420939, 1877.1253964373002
4468.456575578915, 1885.4844015944193
4430.840733496272, 1818.6117225862527
4401.583258819534, 1718.3017474471826
4506.072417661558, 1647.2492469848498
4593.843566189342, 1551.1192527377498
4664.896066651675, 1526.0420778285888
4752.667215179459, 1576.1965870847139
1872.945933718192, 2311.800201557432
1647.2492868443017, 2378.6731994412053
1492.6051404327436, 2445.5465162005853
5220.7785192414785, 2048.487872038703
5316.908672926383, 1981.6145552793228
